query	response
What does the SUM function do in Anaplan?	The SUM function in Anaplan aggregates values from a source module to a target module using a mapping. It's typically used when the source has more detailed dimensions. Syntax: Source.LineItem[SUM: Mapping]
When should I use LOOKUP instead of SUM in Anaplan?	Use LOOKUP when you're retrieving a specific value based on a one-to-one relationship. It's for pulling values using list or time mappings, not for aggregation. Syntax: Source.LineItem[LOOKUP: Mapping]
What causes a circular reference in Anaplan and how to avoid it?	A circular reference occurs when a line item directly or indirectly depends on its own result. Avoid this by breaking the logic into separate modules or using OFFSET/POST to refer to prior periods.
How is OFFSET used in Anaplan?	OFFSET shifts values forward or backward in time. It's useful for referencing prior or future weeks. Syntax: OFFSET(Line Item, Offset Amount, Substitution Value).
Explain the difference between SELECT and LOOKUP in Anaplan	SELECT is hardcoded and refers to a specific item in a list (e.g., a specific version or time). LOOKUP is dynamic and uses a mapping line item. Use LOOKUP for scalable design.
What is the CUMULATE function used for?	CUMULATE accumulates values across time. It's typically used to build running totals. Syntax: CUMULATE(Line Item, Direction, Reset Boolean).
What is a best practice to avoid hardcoding SELECT in Anaplan models?	Use LOOKUP with a mapping system module instead of SELECT. This ensures scalability and avoids model fragility due to structural changes.
What is the purpose of the POST function in Anaplan?	POST pushes values to a future period based on an offset. Useful in planning scenarios where lead time or delays must be factored. Syntax: POST(Value, Offset Line Item)
How do I handle circular reference when calculating rolling inventory in Anaplan?	Break the logic into multiple line items or use helper modules. Use PREVIOUS or OFFSET to reference prior week's cumulative value instead of the same line item.
Why is aggregation failing in Anaplan with 'incompatible dimensions' error?	This usually occurs when dimensions between source and target do not align. Resolve by checking if your SUM/LOOKUP/SELECT mapping matches dimensionality.
What is the difference between PREVIOUS and OFFSET in Anaplan?	PREVIOUS only works on Time and refers to the immediate prior period. OFFSET is more flexible-it can shift values multiple periods forward or backward.
How can I calculate Weeks of Supply (WoS) in Anaplan?	WoS = Inventory / Average Weekly Demand. Use MOVINGSUM to average demand and make sure time alignment is correct.
What is the formula to calculate Fill Rate in Anaplan?	Fill Rate = Actual Receipts / Orders Placed. Use a helper to cap at 100% and handle 0 denominator cases using IF THEN logic.
How do I prevent zeros in the denominator in Anaplan formulas?	Wrap the denominator with a condition: IF Denominator = 0 THEN 1 ELSE Denominator. Or use IF Denominator <> 0 THEN Result ELSE 0.
What is switchover in Anaplan versions and how does it affect formulas?	Switchover shifts actuals into the forecast. It's enabled at version level and impacts time-based formulas. Use CHECKVERSION() to handle logic separately if needed.
Can I cumulate values only after a current week in Anaplan?	Yes. Use a Boolean flag like 'Is Current or Future Week?' and apply it in the CUMULATE reset or include conditionally in logic.
How to calculate safety stock?	Safety Stock = Z-score × σ(LT Demand). In Anaplan, estimate standard deviation of lead time demand and apply the formula per SKU-location.
What is a best practice to handle multi-week rolling averages in Anaplan?	Use MOVINGSUM(LineItem, -n + 1, 0) / n. Reset using Booleans if rolling averages restart every X weeks.
What causes 'invalid line item identifier' error in Anaplan imports?	This usually happens when source and target formats (list names or line item headers) don't match or aren't mapped correctly. Ensure correct naming and mapping.
How do I snapshot values across time in Anaplan?	Use a process to copy values into a line item that stores only current week data. Combine with POST or OFFSET to push values across time.
What is a constraint demand plan?	A Constraint Demand Plan limits demand based on available supply or capacity. Formula: Constraint Demand = MIN(Demand, Supply + Inventory)
What is a constraint supply plan?	A Constraint Supply Plan limits supply based on shipment plan or available capacity. Can be calculated dynamically using MIN(Available, Demand) or cumulative logic.
How to calculate rolling 5-week average of demand in Anaplan?	Use MOVINGSUM(LineItem, -4, 0)/5. Ensure the time range includes at least 5 weeks and handles beginning-of-period edge cases.
Why is CUMULATE not working correctly in Anaplan?	CUMULATE requires time dimension. Also check the 'Reset Boolean'-if it resets too early or too late, totals will be incorrect.
What's a robust way to calculate EOH (End of Horizon) inventory?	EOH = Opening Inventory + Supply - Demand. Use PREVIOUS or OFFSET to link inventory flow week-over-week.
How to implement first week of quarter logic in Anaplan?	Create a system module with WEEK formatted time and a Boolean 'Is First Week of Quarter' using PERIOD(START()) and quarter comparisons.
What's the difference between Module Applies To and Line Item Applies To?	Modules define default dimensionality. Line items can override this. Always align dimensions explicitly when logic diverges.
What's the best way to implement TWOS (Target Weeks of Supply)?	Input TWOS at a higher level (e.g. SKU/Location) and cascade down using LOOKUP. Ensure dimensional mapping exists in a system module.
